sample_158471|පෙන්වා දෙන ආකාරයට ලෝකයේ සෑම හතෙන් එක් අයෙකු නින්ද යන්නේ කෑමට යමක් නැතිව කුසගින්නෙනි.
sample_158472|විශේෂයෙන් ම සංවර්ධනය වන ලෝකයේ රටවල සෑම ළමුන් හතර දෙනෙකුන් එක් අයෙක්
sample_158473|තුන්වන ලෝකයේ ජන ගහණයෙන් දහසයක් කුසගින්නෙන් පෙළෙන ජන කොටසක් වේ.
sample_158474|දෙදහස් එකොලහෙදී ලෝකයෙන් බිලියන එකකට සාක්ෂරතාවයක් නැත.
sample_158475|හයකට බීමට පිරිසිදු පානීය ජලය නැත.
sample_158476|ලෝක ජන සංඛ්‍යාවෙන් අඩක ආයු අපේක්ෂාව වසර හැත්තෑවක් වන අතර අනෙක් අඩෙහි ආයු අපේක්ෂාව
sample_158477|වඩාත්ම දුක්ඛිත තත්වය වන්නේ ලෝක ආදායමෙන් සියයට හැත්තෑ පහක් පමණ බෙදා ගන්නේ ලෝක ජන සංඛ්‍යාවෙන්
sample_158478|ලෝකයේ ඉතාම දුප්පත් සියයට හතලිහක් අතර බෙදි යන්නේ ලෝකයේ සමස්ත ආදායමෙන් සියයට පහකි.
sample_158479|ලෝක ආහාර ගැටළුවට බලපාන හේතු දෙස භූගෝල විද්‍යාත්මක බලන විට
sample_158480|ඉඩම් කැබලි වීම, ඉඩම් හිඟය, ඉඩම් අධි භාවිතය හා මුඩු බිම්.
sample_158481|මේ සියළු තත්ත්වයන් එකතුව නිර්මාණය කරනු ලබන ආහාර ගැටළුවේ පැති තුනක් තිබේ.
sample_158482|ඒ අය වෙනුවෙන් අපිට කරන්න තියෙන්නේ මොනවාද? ඉහත දක්වා ඇති දත්ත ලෝක බැංකුවේ දත්ත සටහන් අශ්‍රීතව
sample_158483|මෙම රූපයෙන් පැහැදිලි වන ආකාරයේ සැබෑ නැමීමක් මතුපිට සිට බලන කෙනෙකුට දැක ගන්නේ කලාතුරකිනි.
sample_158484|එවැනි එක් අවස්ථාවක් මෙහි ප්‍රථමයෙන් දක්වා ඇති රූපයෙන් දැක්වේ.
sample_158485|බොහෝ විට අප ඇවිද යන භූමිය අභ්‍යන්තර නැමි තිබිය හැක.
sample_158486|ඒවා දැක ගත හැකි වන්නේ ඒ පස් ස්ථරය හා කැපුමක් යෙදු විටක වැනි අවස්ථාවක ය.
sample_158487|මේ අතුරෙන් කිහිපයක් පමණක් මෙහි ලා සළකා බලා ඇත.
sample_158488|විවිධ විභාග සඳහා භූ රූප ඇඳ දක්වන විට කාලය ඉතිරි කරගෙන රෑපය ඉතා හොඳින් පැහැදිලි වන
sample_158489|නැමි කඳු භූ රූපණය අනුව වර්ග කිරීම අවසාදිත ස්ථර ඇසුරින් පැහැදිලි කර ඇත.
sample_158490|ද්වීමාන රූප සටහන් මා විසින් ඇඳ ඇති අතර ත්‍රිමාණ ඒවා අන්තර්ජාලයෙනි.
sample_158491|සාමාන්‍ය නැමි, නිර්මාණය වීමෙදී වෙනස් ප්‍රතිරෝධකතා සහිත පාෂාණ ස්ථර නැවීමෙන් මේවා සෑදේ.
sample_158492|දෙපසින් ලැබෙන පීඩනයේ අසමානතාවය හා පාෂාණ ස්ථරයන්ගේ අසමාන බව නිසා එක් පැත්තක පීඩනයට වඩා අනෙක් පැත්තේ
sample_158493|එවිට සෑදෙන භූ රූපයේ බාහු වල අසමාන බවක් දැකිය හැකි වීම විශේෂයයි.
sample_158494|එනම් නැම්මේ එක් අංශකයක් අනෙකට වඩා බෑවුම් සහිත ය.
sample_158495|මෙම භූ රූපය නිර්මාණය වන පාෂාණ ස්ථරයන් සමාන වේ.
sample_158496|එක්තරා ආකාරයට විභේදයක් සේ සැලකිය හැකි මෙය නිර්මාණය වන්නේ නැමි අක්ෂය අසලින් පාෂාණ බිඳිමෙනි.
sample_158497|නමුත් නැපියක් සේ විශාල බලයක් මෙයට හේතු නොවන නිසා මෙහි මතුපිට පාෂාණ ස්ථරය එතරම් දුරකට යන්නේ
sample_158498|මෙහි පහළ තිබෙන ස්ථර තියුණු අවපාතයක් හෝ පොළවට සමාන්තරව විහිදෙන, මෘදු බෑවුමක් සහිත ආකාරයට සමන්විත වේ.
sample_158499|අභ්‍යන්තරික පාෂාණ තට්ටු වෙනස් බල මඟින් සම්පීඩනය වීම හේතුවෙන් නිර්මාණය වේ.
sample_158500|ඕස්ට්‍රේලියාව ඔත් නැම්මක හෝ ඒකානති නැම්මක උඩ පිහිටි බාහුව මතට වැඩි පීඩනයක් ඇති
sample_158501|මෙසේ තල්ලු වන කොටස සිදුවු ස්ථානයෙන් කිලෝමීටර ගණනාවක් ඈත තැම්පත් වී තිබිය හැක.
sample_158502|අයෙකුට මෙය සම්පීඩනය නිසා ඇතිවන විභේද අවස්ථාවක් සේ වුවත් සැලකිය හැකි නමුදු මෙය නිර්මාණය වන්නේ
sample_158503|කෙසේ වුවත් මෙවැනි සංකීර්ණ නැමි ලෝකයේ ඉතාම විරල වේ.
sample_158504|උපරිපතනය, අතිව්‍යාප්ත ව්‍යුහය යනුවෙන්ද මෙම භූ රූපය හැදින්වේ.
sample_158505|නමුත් මේවා කුඩා පරිමාණයෙන් කඳුවල දැකිය හැකි යැයි ඇතැම්හු අදහස් කරති.
sample_158506|ස්කොට්ලන්තයේ වයඹ දිග කඳු අතර මෙම ලක්ෂණ දැකිය හැක.
sample_158507|එමෙන් ම යුරෝපයේ මධ්‍යම ඇල්ප්ස් වලද, නැගෙනහිර රොකී කඳු වල දැකිය හැක
sample_158508|විශාල සහනති මඩුල්ලක සුළු ප්‍රතිනති හා සහනති සංඛ්‍යාවක්,
sample_158509|ශ්‍රී ලංකාවේ ව්‍යුහයේ බටහිර නැගෙනහිර හරස්කඩ පරික්ෂා කිරීමෙන් මධ්‍යම කඳුකරය මෙවැනි භූ රූපයකට නිදසුන් සපයන
sample_158510|ඒ ගැන සවිස්තරාත්මකව ලංකාවේ භූ විද්‍යාත්මක සැකැස්ම පිළිබඳ කරනු ලබන ලිපි පෙළින් පැහැදිලි කර ගමු.
sample_158511|ඒ අනුව යටි නැම්මේ දුම්බර මිටියාවත හා වත්තේගම සිට කටුගස්තොට ද උඩු නැමි වල හන්තාන දොළොස්බාගේ
sample_158512|මේ බව පැහැදිලි කරන රූපසටහනක් භෞතික භූගෝල විද්‍යාව
sample_158513|අධ්‍යාපන ප්‍රකාශන දෙපාර්තමේන්තු ග්‍රන්ථයේ විසි අට වන පිටුවේ තිබේ.
sample_158514|එමෙන්ම විශාල ප්‍රතිනතියක් හෙවත් යටි නැම්මක් තුළ සුළු ප්‍රතිනති හා සහනති හෙවත් උඩු හා යටි නැමි
sample_158515|එංගලන්තයේ විල්ඩ් ප්‍රදේශයේ මීට නිදසුන් තිබේ තරමක් විශාල යටි නැම්මක්.
sample_158516|නමුත් ලෝකයේ මීට වඩා අති දැවැන්ත යටි නැමි තිබේ.
sample_158517|ඇත්තෙන්ම මේ නැම්මට සිංහලෙන් කියන නම මා දන්නේ නැත.
sample_158518|මේවා නිලධාරින්ගේ නිලපටි ආකාරයට සමාන නිසා මේ නම් භාවිතා වන බවක් තමා විකිපීඩියාව නම් දක්වන්නේ.
sample_158519|මේවා තද නැමි වන අතර අංශක හත්තෑවක් අසූවක් පමණ ආනත වී තිබෙනවා.
sample_158520|ඍජු බාහු මෙන් ම මේවායේ උල් වු කොන් සහිත නැමි දැකිය හැකියි.
sample_158521|උසස් පෙළ භෞතික මානව හා ආර්ථික භූගෝල විද්‍යාව
sample_158522|රාජ්‍ය භාෂා පරිවර්තන දෙපාර්තමේන්තුවේ ප්‍රකාශන අංශය
sample_158523|ද්විමාන හා ත්‍රිමාණ රූපසටහන් ආකාර දෙකින් ම ඉදිරිපත් කර ඇත්තේ ඉතා පහසුවෙන් තේරැම් ගැනිමට ය.
sample_158524|සමහර රූපසටන් අන්තර්ජාලයෙන් ලබා ගැනීමේදී හමුවන්නේ රූපය පමණි.
sample_158525|නමුත් උත්සාහ කරන්නේ නම් ඒවා සොයා ගැනීමට නොහැකි නොවේ යැයි සිතමි.
sample_158526|භෞතික භූගෝල විද්‍යාව සෑම මහද්විපයකටම ඊට ආවේනික වු රටාවකට හැඩ ගැසුණු විවිධත්වයකින් යුතු භූ රූපනයක්
sample_158527|කඳු නිර්මාණය වන්නේ පෘථිවියේ අභ්‍යන්තරයේ සිදුවන විවිධ ක්‍රියාවලි නිසා බව විද්වතුන්ගේ මතයයි
sample_158528|ඒ කඳු අතර දැවැන්ත නැමි කඳු සුවිශේෂි තැනක් ගනී.
sample_158529|වසර දහස් ගණනක් තිස්සේ පාෂාණ තැටි තල්ලු වී යාම හා තෙරපීම හේතුවෙන් පාෂාණ නැමීම ‍නිසා
sample_158530|ලෝ ප්‍රකට දැවැන්ත කඳු වන අන්දීස්, රොකී, හිමාලයා, ඇට්ලස්, ඇල්ප්ස්, ආදී නැමි කඳුවලට උදාහරණ වේ.
sample_158531|මේවා සාගරයට ඉතා ආසන්නයේ තැටි මායිම් අසළ පිහිටා ඇත.
sample_158532|එමෙන්ම මේ කඳු මුදුන්වල තිබී සාගරික මසුන්ගේ පොසිල හමු වී ඇත.
sample_158533|යුරල් ඇපලාචියන් වැනි අභ්‍යන්තරික ව විහිදි ඇති නැමි කඳු ද තිබේ.
sample_158534|නමුත් වැඩි වශයෙන්ම පරික්ෂණ පවත්වා ඇත්තේ ඇල්පයින් කඳු පද්ධතිය පිළිබඳව වේ.
sample_158535|ඇල්පයින් කඳු වලට යුරෝපයේ ඇල්ප්ස් සහ ආසියාවේ හිමාලයා කඳු අයත් වේ.
sample_158536|මෙම කඳු පෘථිවි භූ ඉතිහාසයේ තෘතික භු යුගයේ දී ඇති වී ඇතැයි සැළකේ.
sample_158537|රූපයෙන් පෙනෙන පරිදි හෝ ස්ථිර හා බලවත් පාශාණයක් හමුවේදී දුර්වල පාශාණ ස්ථරය නොවේ.
